text,sentiment
 Naw.. it was pretty tame. Only 1 guy in costume.. a Voyager-style 'medical' uni. Disappointed there weren`t any more in costume.,neutral
I need to wake up earlier so I`m actually tired enough to fall asleep,negative
_ If I called your cell phone would you let me talk to your teacher?,neutral
"really don`t mind (too much)) sittin @ standstill, listenin 2 music, twttrg. But the gas gauge isn`t lookin healthy",negative
found `s Spinning Top instead of outtamyleague mp3. pardon me sir. but i promise i`ll buy a copy of the cd. i`m saving up,neutral
"#BGT DCD Seniors were good, but not good enough.",neutral
" haha im jewish, i love that one",positive
been awake 19 hours,neutral
 I know! I`m totally excited,positive
 haha I tried covering it with make up.. It doesn`t work  lol so wearing a scarf is the way to go.,neutral
Good morning Sunshine   Tiime for $chooooL ! lol . BBL`,positive
 I knew my mom loved flowers and she loves the Rieger Begonia so... hanging basket seemed perfect,positive
Starving. And Alyssa`s mom would bring her subway.,neutral
"It`s my wall, and I like saying I banned Zac Efron  lol sonny",positive
" ew, i used to get 'suicides' in high school and mix like 5 sodas together. then drink it. i think i remember enjoying it, too.",positive
"tired and bored, watching movies while i`m home alone",negative
 awesome..am headin there that nite after my grad dinner  c u then boi! hehe,positive
_Perez That`s great! I hope I`ll study with my bff too and we`ll live together. well..we will see,positive
Anyone having twitter issues? It`s eating my tweets.,neutral
Had an awesome lunch with the family & now dinner with the in-laws,positive
why do i think i have to take medicine cuz i was laughing to hard?. my head should not be in this much pain. i thought laughter was gud,neutral
Found some great places but I might have to play it safer and wait 2 years till my car is paid off,neutral
http://twitpic.com/67wb4 - Gotta a show on Monday at 9.... hopefully my head will be better by then....,positive
STOMACH ACHE!!! Ahhhhhh,negative
 http://twitpic.com/4w22u - Its so pretty! The girls must love you a whole lot  Happy bday again!,positive
" i thought people only went to hounslow when they`d gone the wrong way, didn`t know there was anything there",neutral
Listening to: Sweet Talk 101 - Cute Is What We Aim For /// Considering taking up the GameBoy Color again. I miss chiptune.,negative
 no fair,negative
 Awe - didn`t know cats got skin cancer,negative
 bad times?,negative
Evenin` tweeties. Phew it`s been hot! Not that I`m complaining. Walked 4 miles into town today and felt all hot `n sweaty   Was nice tho.,neutral
Ow it hurts,negative
 Yeah I`m kinda glad I did stay home,positive
 oh i see   so what are you having today?? hehe,neutral
you know you love your mom when you stay up this late just to wrap her gifts (which look glorious) & hand-make a card.. happy mothers day,positive
 that sucks!,negative
_berra happy birthday!,positive
_Rex_513 I`m working all weekend,neutral
tierd.i just want to talk,negative
  Yeah the spammers are discriminating: none of the females  are part of the target group apparently,negative
 that`s so weird seeing your MySpace page without me there! Had to delete my page though.,negative
twittering after 2 days!,neutral
Phone power is dying!,neutral
  hope u feel better sweetie,positive
It`s teddy chucking time,negative
good night fellow Twitterati. back to work tomorrow,positive
" Just for reference, I don`t own that dress either. Sounds like LH was a good Fopp buy then",positive
I ran out of white and yellow oil paint   I may have to add 'Utrecht run' to my list.,neutral
 oh no.  hope you feel better soon. Hugs. I had flu earlier this month.,positive
"_l unfortunately not.my work ties me down 4 the whole summer.but if there`s a eu-tour this fall,I`ll be there!  I want a rebound",neutral
thank you  (: cant wait!!!! ummm btw ima crash still sick,neutral
" Im 20 - believe me, I`ve tried! I`m just too ginger! Freckles join up on my face - that`s it!  get it out a bottle cancer ...",negative
  I`m SO jealous! I don`t know when I`ll be able to see Conan.,negative
Mother`s Day is THIS Sunday.... don`t forget to send her something special  http://www.youtube.com/watch?v=ExpmTEVSFQg,positive
http://twitpic.com/4w70j - Left: This is your brain. Right: This is your brain on drugs.,neutral
www.myspace.com/fashionisthenextcity  check out and started new tee`s  limited edition in different ways !! check facebook group too,neutral
" how abt we wait til summer, and do this at ur place...ima need somewhere to stay anyways",neutral
" Oh, awesome, I have Yahooo!  Good night, sleep tight, don`t let the bed bugs bite!",positive
happpppy mothers day,positive
"Oopsie, the origami box I just made looks like a strawberry! should I be allowed to teach?",neutral
WTF? Twitter doesnt support messages from my phone -I wanted to be able to Twit while on vacay.   Poo on you Twitter,negative
 I think we have it pretty much figured out.  added a box in the Helsinki group where you can see the tweets,positive
 teehee. it was a good show anyway,positive
"just missing you&hoping to talk to you soon..I`m so happy you`re mine again, though  You have no idea..<3",positive
My mom said I eat a lot,neutral
: Ok its suppose 2b followfriday not unfollow Friday  aw well I have nice tweeters anyway! <-almost doesnt sound right...lol;),positive
 thanks so much for that!  i will most definitely pass that along to my amazing mother...,positive
 I never liked that boy  Jerms!,negative
"_21Thanks, I`ll keep working on her    lol good idea!",positive
goin` to casa milan`s club house...,neutral
 yeps...just for today though  I badly wanted to do some geek-shopping...,negative
" I just started watching 30 Rock too, borrowed seasons 1 and 2 from my dad   so good.",positive
" would have been better, IMO, if it let you play through all 3 songs provided. I just start to 'get it' and it blacks out.",neutral
im really tired.. not much time to sleep,negative
i just woke up and remembered theres no school!!! life is good  xxxxxx,positive
i DID argue with byron because he said im fat,negative
"Okay, the man with the hook for a hand is kinda freaking me out right now.",negative
Happy Mothers day to all mums,positive
Early lunch then getting all dressed up for Amy`s confirmation,neutral
Awwww ur already gone,neutral
I want a new lappy,neutral
 Oh noes!! Melted ice cream = do not want.,negative
 i`ll try sort that fabric out for you today...been a busy bee!,neutral
"_Believer I know! That`s ok, most did ;) Thanks",positive
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive
"I told andrew that JT is going to cameo @ MTV movie awards. He said, 'he`s pissing me off.' guess they`re in a fight",negative
 Thanks for the follow back,positive
is very very tired  just want to sleep.  Stupid work getting in the way!!!,negative
_AnR_Shine Feeling pretty good. You should check this out http://www.myspace.com/bigcitymonkey Just saying.,positive
Happy Mothers Day to all the Mommys.,positive
"midnight cry.. wish the person I wanted, wanted me right now",neutral
 try direct message to me here on twitter,neutral
" I empathise luvvie, I dont personally understand a grown mans need to dress in tartan in search for a little white ball",neutral
Fighting with Nagios configuration.  Great tool but the config is a bit of a labour,positive
Nothing 2 do 2nte  Boooooooo! I`m totally bored!,negative
"Eh, I`ve had better. I`m excited to see ryan hurley tomorrow",positive
"  told you, you would sweep haha :-p",positive
 where are ya headin to for your family vaca? i hope the paparazzi leave you alone,neutral
  youstinkatrespondingtotexts!,negative
" ran 5 miles, went to the gym & woke up Ur great kids....dependable Danny  hope it has been great already",positive
"sososo bummed, like really bummed, i hate this rain, ruin my date...",negative
 super stressful day & can`t sleep...glad I found you your so sweet to take the time to make strangers feel good.,neutral
i didnt get paid this week  roll on tuesday,neutral
 we should definately be in Paris that week. if I get a job we most certainly will be,neutral
Gained 3lbs wish I could afford something other than top ramen... If only I had a job...,negative
 LOL! Thanks  glad I have the time off to spend with him! Can`t imagine trying to go into work right now.,neutral
 i`ll go to the movies with you,neutral
_Butler I think/hope they might put an age limit on next year on the back of that  #bgt,positive
"Hello all my new followers, there is suddenly a lot of you, so will take a little time to get round to you all",neutral
 so I tried jumping without the trampoline and its like thud* thud*  shouldn`t have eaten that cookie.  http://myloc.me/1XIz,neutral
 of couuuurse fika  i`ll pray thes best for you then.,neutral
"_01 here is winter, but not snow",neutral
More pictures! It was such a pretty day  http://tr.im/kWOD #fb,positive
BYEEEEE!!!,neutral
 Good Morning and thanks for the Retweet,positive
"  Yes. But, Cute AND Predictable works for you...",positive
"  i love you,i love you,i love you -you`re the most beautiful and sweet girl ever.",positive
fo shizzle. . . i`m bored and wanna go do something.  wish i went to pisay today. oh wellz. wonder who were there.,negative
transcribing my tenth (and last) report for the night,neutral
watching the games and making some popcornss!,neutral
"Its official, I`m having the worst day. I called it a mile away",negative
" haha well, kinda! I`m Mommy to my lil` pom-chi  hehe  thank you! ;)",positive
 I am absolutely craving a brownie with ice cream right now. FedEx some over!,neutral
"i want a dog or a cat or something  i want something to unconditonally love, thats not materialistic or a family memeber",positive
" Certainly not Cheers than, huh?",neutral
"simple greetings from unexpected people can actually lighten our mood, doesn`**** ever happen to you?",positive
"Why are tea pitcher things so hard to find?  I haven`t seen any here, and I`ve only found this http://tiny.cc/vynk5 online.  Ugly.",negative
listing to music while putting the finishing touches on my mothers day present and the cool part is it didn`t cost my a thing,positive
 say hi to dan and katherine and zachy,neutral
" hey jesse, here`s your background  let me know what you think! http://tinyurl.com/cf2yuj",neutral
 Love the unique accordion thief buffs - thank you!,positive
 finally -- someone recognizes my genius,positive
"Working on a bank holiday, but I don`t mind - it`s all good fun",positive
Sometimes it hurts that pets cant talk back to us. What if they are in pain. How would they tell us.,negative
_Melbourne Sounds good! Say hi if you run into me there! I`m always always having coffee there,positive
" nothing aimed at you, just joining in...sorry",negative
Fish and chips for din dins,neutral
The seat was a nice place to go,positive
"has got my xbox back  , i have a really sore knee cant walk",negative
"_K Why thank you ver much!  I appreci-****-ate the compliment. I do my level best, you know. Can`t let mother down.",positive
 maybe cause you look so innocent,neutral
"Starting my internship today, pretty excited!",positive
Someone fly me to Reno,neutral
CONGRATS !! I just KNEW a princess would win!!!   #sigjeans,positive
 I hope you feel better soon,positive
its sad that the rats are becoming aggressive against the guinea pigs. I have to seperate them.,negative
Thank god for Starbucks,positive
Now have an unpleasant talk w/n-laws 2 look 4ward 2....,negative
its too early  i wanna go back to sleeep,neutral
"Oh dear god, going to have to buy a Mac and Pro-Tools, I think my darling edit suite is soon to be filled with Prince Of Persia Movie",neutral
 and now I am starting to feel really old.,negative
"   well, I couldn`t get a real clear shot, but I`ve got the best I could...silly people walking through the admitting of the ER...",positive
"_s  Accept it, you can`t do anything, can you?",neutral
", love your background, I just might have to copy it",positive
 awesomeness,positive
 aww that`s awesome! he`s a good guy,positive
my nail broke  I haaaaaaaaate,negative
 Nope probably revision  Hbu? x,neutral
Loving the cairns clan,positive
3 hours  oh my. Is it shorts weather do you know. I`d do my usual hanging out my window but the neighbours are out.,neutral
"Oh great, Radio Disney doesn`t crash with the latest webkit, so my kid can run it again. HEY WAIT.",positive
 LOL that`ll teach me to blindly trust amazon search results without reading!,neutral
Aparantly it`s #starwarsday so enjoy  don`t quite know what your Kent to do but be happy anywho!,neutral
"Pool, alcohol, & a cute band, couldn`t ask for more on a Saturday night  #fb http://twitpic.com/4w1rr",positive
Gotta be at church by ten for camera meeting  Finally!! =D lol,neutral
"ouuuuuuuuuchhhhhhhh, still hurting from the Barca spanking",negative
" Oh, I forget things you see. Ahah. I hated that! It creeped me out.",negative
 Me and Wendy are going after all.  Wish you were!!!,negative
 Welcome back to Japan,neutral
 I am using iMovie 08 and it`s still not bad. I am afraid to hear what is wrong with 09,negative
i feel sad for you elizabeth.,negative
" Buying my copy today, so excited! Need to learn it for friday  Good luck in sheffield",positive
 Sorry to hear that Carol.,negative
 with 14mph winds!!,neutral
lmao im stupid just felt like sayin tyaï¿½ in my red caf vioce..nite ya`ll,negative
 i graduate at 9am on Sunday June 14th...,neutral
Take me away,neutral
The new resigned cricinfo : http://tinyurl.com/mxlcuv I hate change,negative
By newark,neutral
 I must agree I do like blackberries!,positive
"math is all that is left for the day, then the DMV",neutral
 i`m watchign the garden from the window...far too hot for me,negative
 you know you love it   Stat-K,positive
I`m poorly and can`t sleep,negative
transferring 368558682 photos is annoying.. I want to watch Up,negative
 ur not blind  i was just browsing & saw ur tweet & figured i could answer ur query plus i wanted to know too,neutral
"ahhh twitter, I havent seen you all day",neutral
hooome from work. why am i awake still? up in 5 hours,neutral
" I gotta say, I feel bad for everyone in NKorea.  They`re starving, and they have a crazy in charge who endangers them daily.",negative
"_1210 holy ****, I need to see that! Too bad I gotta wait until tomorrow",neutral
  also check out  and   2 other wonderful causes that need our help,neutral
 We never miss ICarly - my son has a huge crush on Miranda,positive
just had a bbq... YUM im full now,positive
 I`m sorry.,negative
Smith/Amherst mini-reunion last night was fun- how i miss the old days,neutral
[Somewhere - Within Temptation] returned to mysefl. Keep working hard till June,negative
looked up weather for greece this weekend....80 and sunny OMGZ,neutral
lets play some russian roulette.,neutral
happy mother`s day  & later on i can`t wait to see _day26 in concert. lol. well ima see all of day 26 but i like him the most ;D,positive
Working now,neutral
 i couldn`t eat all my nuggets  finish them for me.,neutral
 Not been on for a while eh Barry lol.Tweet deck is like prehistoric lol,neutral
" Unfortunately, I will be nowhere near the beach. I have fam in that area, too.",negative
Good morning tweeps! I have a feeling I won`t be oversleeping now that Gracie is around.  She pounced on my head and woke me up at 7am.,positive
 I am in the `real world` which apparently involves a lot less twitter....  sorry!,negative
" I did do that one Twitter while driving, although the iPhone keypad sucks for driving and typing",negative
Back from x-men origins . Was surprisingly good,positive
omg i was so nervous last block. i had my speech and i almost puked. it was horrible.... i bet i got a bad grade on it....,negative
"So much to do this summer, hopefully all comes in favor and nothing has to be cancelled  worked hard for it...",positive
" Happy Mother`s Day, Kadi!!",positive
STEP 1: be a photoshop expert  http://plurk.com/p/ros47,neutral
 Yes i work 6 to 3...,neutral
All new implementation of test discovery for unittest. This time in a loader. Good start I think.   http://twurl.nl/nz8f4y,positive
"10pm tonight, International Space Station will by over head, through most of Texas at least",neutral
  You`re just jealous!  Guess you`ll be walking around the office tomorrow in your Malo!,negative
i wish i had more chicken wings,neutral
OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE,negative
Where is Teng?,neutral
"Man, looking through and packing up my books is looking at my past lives. Feeling kind of sentimental",positive
 Thats beautiful,positive
Ugh. Too much happened today. I really need a hug,negative
Looking for accessories for my #livescribe smartpen.. not many sources here in germany for it.,negative
 MCFLY?!!  Aren`t they the best band ever? I wish I were there to watch the concert. Singapore isn`t a place they`d tour.,neutral
"Ive been up since 530,i hate wen i cant sleep. Garys takn a nap and i mite do the same",neutral
Stupid alarm!! LOL Morning Twiits.....,negative
has a broken iphone,negative
Hmph. This is nowhere near as effective as it was a few mins ago. I wonder if it was a coincidence. FOLLOWERS: please report ur findings,negative
Ahhhh!!!!!! Almost off!!! Can`t wait!! But..I got work again rite after this!   HAT CLUB Come && gimme some Company! Oh && a Cookie! ;-),neutral
"Work, work, work. Finally not sick, though.",positive
"Hello dark hair! Well, my plans for today just got cancelled  make some better ones?!",negative
 Pitty he wasnt arnd 2 huh! I wld have rlly wet myself! Otherwise the wedding was gr8!! Had a gd time & lots of smiley faces!,neutral
Lack of sleep leads to major head ach,neutral
"we went, we bought, we conquered! and we came back with the most delicious custard croissant",positive
 lmao boss ross don`t come on out here  I love that man he was the truth,positive
 this traffic is ridiculous im may not make it,negative
You know funny thing about everyone packing for E3 is that I am packing to go to mexico... not E3,positive
I need a new iPhone case but I am broke.,negative
what a bummer that tomorrow is friday again!,negative
 Your missing qualifying  I think David Reutimann is leading with a 22.96 ....,negative
is snuggled in bed reading,positive
 haha kk tell me when u remember,neutral
 so close to tennessee,neutral
i have three hours to do my hair. and it STILL won`t be straight,negative
ok gotta get my sub before everyone wakes up,neutral
GOD SCHOOL IS GOING TO SUCK **** NEXT YEAR!,negative
 what about me  I miss you too!,negative
" He died.  Wait, what about Magic Jack? I just read it.",neutral
just realized i gained 40 pounds in the last year  http://bit.ly/wCr3a,positive
why must the weather b so nice and then so bad all in 1 minute,positive
 See you on may 16!!,neutral
Is watching the final Underbelly,neutral
Is happy...Skool just let out..! Today was my last day..! Yippee! R.I.P Jackson Tyler Morris..! Always Loved And Never Forgotten..!,positive
watching miss cytheria,neutral
 what a **** shame all that body to waste,negative
The bunuelos were a huge hit but i had to skip shopping afterwards.  let`s see what kind of trouble i can get into here...,neutral
I hate crowds   http://tr.im/mONi,negative
lapit na ko magout. lapit na fated to love you.hehe  http://plurk.com/p/rrj4e,neutral
 aaawww  no worries fresh start to work on growing it out again,positive
Went to friend`s house to watch some good old season 1 episodes of Supernatural <3 **** I love this show soo **** much,positive
food...food...FOOD!,neutral
deadlines!,neutral
**** typical. GH:M arrives just as I leave for work. It`s going to be a long day,negative
" Thought you should mention that you don`t need to enable Growl in Tweetie to make your plugin work, and to avoid duped notifications",neutral
" LOL! salivary gland?? frm those little flies?? no way!  alison=drama queen  oh no, ur brain hurts? a new brain is growing!",neutral
 hey Chelsea!  Is Your Arm hurtig from the vaccines we had todayyy?  loveeya,neutral
 it was fun  Ate at mas.Thanks!!  Good luck w/ ur showing tomorrow.,negative
 Hey!  Who are you closest to among all the Disney stars?  [I`m a Filipno too. D],neutral
really rather drunk  drunk thoughts - how am i getting to work tomorrow?! is loz alive?! does gandhi read comic books?! we will never know,neutral
_twist86 **** is picking up!,positive
i am letting you read this.......,neutral
"has gone through about 6 tea bags , call me obbsessed , i say thirsty",neutral
" Well, thanks for thinking of me! And if you ever do get the scratch for one, well, I`m right here!",positive
awww poor little girl on britains got talent,negative
 i would prefer 1 more monday,neutral
 cool !! actually i believe T.I. has just begun his jail sentence in arkansas,positive
 Consider yourself lucky.  It hasn`t rained here in ages.   It`s depressing.,negative
It`s after midnight & I hear the shower calling me- Technically it`s not twice in one day since it`s morning-- I`m not very 'green'.,neutral
  buy yay for your shoot...hope it goes well!  What is it for?,positive
...... is an awesome band,positive
 google away,neutral
" ****, for reals? wtf",negative
"want my new lappytop now, but the site says it won`t be here till 6/9",neutral
" I wish I was! well, for the past hour I have been. But before that I was in bed. Proper migraine!",negative
 Ahh dang of course it had to do that  She better e-mail you back fast!,negative
On a flight home  after an awesome trip with my cousin! Miss you sophia,neutral
"`s plans didn`t go as followed, but its ok",neutral
 http://twitpic.com/4w9w6 - lol you sure love that sushi. you`ve tweeted many pictures of it.,positive
" Good night.  Sorry I missed you during our morning window.  See you at 5, I suspect.",neutral
 We all need that simple reminder-thx!,positive
Eminem 3AM ... Freaking Awsome!!! ... Im Going Back Too... Seams Like Something big is inside me... and no...is not a Alien,positive
 kwl... nm this msn nd homework... but i went 2 c hanna montana hte movie yesterday **** happy mayday btw ****,positive
life is so boring without you,negative
 Great !!! Your book looks fantastic ? I want it,positive
Damnation. I just woke up.,neutral
" And most of us are going to be stuck in an office, some without windows",negative
Going to French. Anyone want to pick me up?,neutral
" oh dear, I take back my request.... I get so drunk on fizz!! And I def do regret it the next day, sure fired hangover",negative
everyone`s abandoning the office... I still have 5 hours to go,neutral
" - Aww, yeah, dear Nicky  .",neutral
 I`m not goin have a way out there til b.dix gets off  but we swimming tomorrow !,neutral
 Aw thank you. I suppose it`s a good thing since it means more tweeting.,positive
OMJ! J.O.N.A.S. is the best tv show EVER!  ?,neutral
"On another note, geoDefense Easy down. Onwards to the medium maps, where a whole other world of pain awaits my exploration!",negative
"Should have gone to bed ages ago, **** you tedtalks!  Gotta get up early too",negative
 there is always traffic heading back here to long island on fridays.,neutral
I`m sad Twits!  I`m going to miss  musiq soulchild and anthony hamilton! Ugggghhhh I LOVE them!,neutral
just wake up.and i got flu  http://plurk.com/p/x2zp6,negative
OMG that little girl on BGT!!!!!!!!,neutral
what a waste of lives ... http://tr.im/mLou,negative
Fire call today missed it,negative
" Youtube. ) Really awesome quality, actually.",positive
i think i need a drink,neutral
 eww  What r u doing atm?,neutral
 cute   Time for a twitpic ;),positive
ok...so i`m Twittin from my computer...its gonna be bad when i get on my phone.. cause ima be lost like ****,negative
"I`m sitting in altanta. It`s raining in boston. Yay for flying in the rain, that should help with my fear.",neutral
Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it,positive
I smashed my pinky in julia`s car door... **** my life...,negative
Wishing everyone a Happy Mother`s Day.  xoxo,positive
" yea it looks good, the flower i mean.",positive
Go get some fresh air :] to refresh mind,neutral
Why isnt my internet working,negative
Scared  waiting for the call,negative
" yum, yum.  I love quesadillas....and wallpaper for that matter tooo",positive
fucken tired as ****  it`s sunny.. good day? deffff,negative
Wants to game tonight with her friends,neutral
"Monday mornin`, back to work today. Good thing I live my job.",positive
"the scrubs finale was beautiful, just so so perfect. can`t believe they`re gonna do another season",positive
" ah, I`m so sorry it  I played a game of PSP with my friend tonight, and returned a while ago.",negative
Done studying bout the earth,neutral
wants to go to walmart. but won`t go alone,neutral
"i actually really liked Merlin last night. some parts were a bit eh, but the part where that chick was singing was like whoa.",positive
_PrintChick exactly! Thats the first time i saw his @ reply to Jon. Never going there again. Oh have fun with d new phone.,positive
head hurts and I feel sick  and I have to go to work tomorrow,negative
i told myself i wasn`t gonna cry and then one kid that everyone made fun of all year said 'it`s been a good year',neutral
what am i doing? what can i do?,neutral
 i wish i was still in my jams,positive
 tres rude VICTOR!  :\,neutral
167 SQL queries to display one single deal page on OzBargain. Looks like I`ll have fun optimising it!  Bad bad Drupal...,positive
 Any tips for someone who has only made it 52 on Flight Control?,neutral
Happy Mother`s Day. . .,neutral
 i know ridiculous! we never got to hang out  i love chicago and want to go shopping... so a trip sounds like fun,positive
has just arrived in Singapore.,neutral
 I`m glad  you def needed a pick me up!  drama free!,positive
Getting rather annoyed at my notebook. I know it`s old and has got wrinkles but it`s never been this slow before,negative
is online shopping...fantastic,positive
"House of the Muses 4, page 28 is now live.   http://bit.ly/egVW3",positive
 I queue for cake standing up and with a slight look of deranged anticipation on my face.,neutral
" Thank you good sir, it has been a surprisingly good afternoon, very productive",positive
" Good morning nyc! If I weren`t broke, I would have landed there yesterday afternoon.",neutral
_sims do you know of any inside scoop on a station that`s anything what kwod was? there`s nothing for us now,neutral
None of the people I talk to in my P.E. class are here  I`m going to be so bored all period.,negative
 sorry you didn`t make it  Good luck next time though!,positive
"I miss my dog  r.i.p.Batman... Yeah, Batman (I really hope `all dogs go to heaven` is true)",negative
"urgh, i really hate that medicine",negative
Confuzzled,neutral
" Thanks for the link. I`ve been out of NY, missed many non-online bills so know how badly my score`s been hit",neutral
listening to music!! my phone just died on me  !! Can`t find my charger... my brother needs 2 stop taking mine without asking!!,negative
Searching apartments in Kaohsiung. Will go seeing the apartments on next Tuesday. Haven`t found a good one with reasonable rent...,negative
"so its been forever since I`ve tweet, just wanted to say thaty I love bill! and I hope ya`ll have an amazing week",positive
 awww she`s laavly ;) I had to come in  but I`ve got a stunning wee tan (l) ;) yourself?,positive
_benson  Woohoo! Well Done! I started Macarena-ing too,positive
 **** i got a **** of hw to do 2nite,negative
Molly keeps punching me cuz she sees yellow cars. I`m gonna be covered in bruises. I don`t like this game,negative
  good luck  haha i loved your character in the bring it on: in it to win it  movie,positive
R.I.P. Sammie the Cat,neutral
off to get ready for school. have an absolute wonderful day!,positive
" I don`t say it, I KNOW it.  Because I`m just good like that",positive
what the hell is follow friday?? don`t get it,neutral
was laughed at today for being too hopeful with the things...,negative
crappy music on the radio,negative
 lol...but they aren`t here! I`ll tell them to do that Monday. lol,neutral
 I`ll keep that in mind if I decide to add an LA leg  to my westt coast stint in June,neutral
  bif doesn`t come down far enough south for me,neutral
"Going out to down town with a friend, long time haven`t seen him...OKOK.. i am feeling fresh again",positive
 you`re absolutely welcome.  i love you too and am happy i was able to help make that moment happen.,positive
"I love the start to a fresh new week, `tis when I am motivated most",positive
_ming  me is gg for summer sch though.. not attachment... yan can go see the blog. check my msn or ask kinny,neutral
im joining twitter  lol,positive
" he so is! <3 hence, my new forum signature!",positive
 if u can smell goodness all around you and energy of big city and pinch on butt feel real YES u are in Chicago,neutral
"  Yes thanks, its been great. Soooooo not looking forward to Monday",neutral
I just love when all my little brothers friends come over,positive
 you tell us,neutral
"i burned my tongue!  @ workkkkkkkkkkkkkkkkk,",negative
 he is the meanest lil boy ever!!!!!!!!!! When I was a lil girl everyone loved me,neutral
Twitter you suck,negative
" Sounds like fun... I think?! LOL! I naughty, should be ironing and watching NK **** on youtube instead! LMAO!",positive
Starting to spoil my pug since her brother Max passed away on Tuesday. We miss him.,negative
" What up Lisa, sorta quiet... I`m USA, so gonna crash soon.",neutral
The trains turned into a microwave,neutral
such.a.tease.,neutral
At work making more $$.. The only thing that keeps me going is knowing I can SHOP some more once I get paid  I`m becomin a SHOPAHOLIC hehe,neutral
sometimes i forget my favorite **** stars are real people too.  made orange chicken last night and cut his finger off! sad!,negative
Head in the clouds,neutral
check out q100 right now..99.7,neutral
is getting the kids ready for school before deciding the workout du jour,neutral
"My Boy is leaving for the Summer, Going to stay with the Grandparents.. I`m gonna miss him!!",negative
 Yay! Lets welcome Mrs Mcnugget to twitterverse!,positive
"off to go buy more deck sleeves and 3X3 card pages.  Man, those pages are expensive!   Stupid organizing collection.",negative
"Oh.  The voting is over!   But don`t worry, I already voted for you about 100000000000000000000000000000000000 times earlier!!!!!!  <3",positive
 Not that funny! I wont jump,negative
"My mom has annoyed the living **** outta me, so now we`re on AOL Radio, looking for Brooks & Dunn.",negative
just came back from karaoke & eating dinner with emily. it was sooooo much fun,positive
 oh that sucks  Tell your DH to act like a grown up maybe? I`d be stressed too,negative
 awww. its cool. i ate too much ice cream,positive
"Good morning!! Gonna clean the house a bit, then maybe clean some more, then do nothing for the rest of the day",neutral
my bf had to go to her dads for the week end. i will have 2 full days of bordom.,negative
 yeah and in the tatami room!  kids + tatami dont mix,neutral
" I don`t understand anything, HELP",negative
"aku kbangun gara2 mimpi , very bad dream",negative
Happy Hug Your Mom Day!! love you mom,positive
twitwoo! i can tweet from my phone,neutral
just watched that  new T-mobile advert on Youtube.. i love it  'hey jude!!!!!!',positive
is wishing everyone a blessed & beautiful Mother`s Day!,positive
 trouble is i don`t think any of this is helping my wrists.,negative
 ALL white shoes make me cringe  . White shoes give me pause.,negative
 whoa rad ! coffee makes me stay up all night,neutral
I am sad because I broke my super-awesome giant paper clip I was using for my Italy notes,negative
goodbyeeee Arizona. See you in 3 weeks.,negative
 moooooooooooooooo? lol i copied that last.fm thing you had  looks good,positive
there`s not many things better than sleeping with my windows open,positive
"hungry, but don`t have an appetite",negative
Or maybe its just us ....,neutral
Just burned my tongue!!,negative
  Re: chocolate thing,neutral
 that`s cuz you`re cruising the twitter #nightshift now,neutral
JUST GOT TO LA  MISS HAWAII ALREADY! DANG,negative
"The WHITE DICE are coming into the studio this eve 6-7pm, on 1386AM Radio City",neutral
 starbucks? I thought u were trying to b good?!,neutral
Im wishing that i had the weekend off so i can go to SOL.,positive
 the kid that got a second chance shudnt have. mowgli didnt. gutted,negative
" *hugs* me not sad really, me just messing",negative
Subway=yum!,positive
June gloom is upon us.,neutral
 lmao! You baked non-stop? Sounds like yummy fun!,positive
" im sure he will  and if its not today, maybe it will be tomorrow..",neutral
Waking up early to go to the gym,neutral
" So far, so good. It`s still early, though!",positive
why am i up so early,negative
changed my h/p number go online msn messenger to see,neutral
"Woke up dreaming I met my Hero; Author Anne Rice & her son, author Christopher Rice. I was in such euphoria. Perhaps I would someday.",positive
home not well hate not workin,negative
 Sry I missed your calls. I fell asleep out of boredom. Colorado Sunrise was enjoyable though.  I actually could hear it. xD,neutral
why does my life suck?,negative
Just saw the new Star Trek movie. It was so good!! Zachary Quinto is amazingggg,positive
  http://tinyurl.com/mdr7b4 I just noticed that too,neutral
"_xox  Oh god, everyone`s dying.  But it`s mainly justin depressing me",negative
i need some hot green tea  I cant sleep  ....,negative
IDIOTat)tove_liden Th*nks for the follow Tove!  (ddoodm) #IDIOT,neutral
had one of the greatest days ever! spent the whole day with besties & celebrated installs with the friends i love oh so much  <3,positive
Just got an IM from another co-worker who just got laid off. Lots of people becoming unemployed,negative
 Thanks. They`re both so cute. Havent been home for many years so havent seen them in person,positive
 wut u want a shot of ma?,neutral
" Ashlie, thank you.  You made me feel a little better.",positive
HD full again...  http://plurk.com/p/x2eb3,neutral
great song  http://bit.ly/evluw,positive
" it is very cheeky one, but nice too",neutral
" aw anytime, boo. I realized that all I need to have some fun are you guys.  We should change our pics to the poofy hair ones!",positive
 A new baby? How exciting  Congrats in advance,positive
 I`ve given the $19.99 question more thought. U may be right. One host provides HD quality to all viewers? Maybe not.,positive
"When you think about it, the way God works in tremendously, amazing -- He made it possible for me to get my card holder that I lost back.",positive
_ho Yay you can eat proper food now!,positive
So Bored. Firday Evening And Nothing To Do,negative
happy mother`s day to all the moms out there. i hope i never join that crowd,positive
" Dang! Of course, I`m just jealous `cuz I didn`t think of it first",neutral
